#uplink	channel	gainADC
80	0	12
80	1	12
80	2	12
80	3	12
80	4	12
80	5	12
80	6	12
80	7	12
80	8	12
80	9	12
80	10	12
80	11	12
80	12	12
80	13	12
80	14	12
80	15	12
80	16	12
80	17	12
80	18	12
80	19	12
80	20	12
80	21	12
80	22	12
80	23	12
80	24	12
80	25	12
80	26	12
80	27	12
80	28	12
80	29	12
80	30	12
80	31	12
80	32	12
80	33	12
80	34	12
80	35	12
80	36	12
80	37	12
80	38	12
80	39	12
80	40	12
80	41	12
80	42	12
80	43	12
80	44	12
80	45	12
80	46	12
80	47	12
80	48	12
80	49	12
80	50	12
80	51	12
80	52	12
80	53	12
80	54	12
80	55	12
80	56	12
80	57	12
80	58	12
80	59	12
80	60	12
80	61	12
80	62	12
80	63	12
81	0	12
81	1	12
81	2	12
81	3	12
81	4	12
81	5	12
81	6	12
81	7	12
81	8	12
81	9	12
81	10	12
81	11	12
81	12	12
81	13	12
81	14	12
81	15	12
81	16	12
81	17	12
81	18	12
81	19	12
81	20	12
81	21	12
81	22	12
81	23	12
81	24	12
81	25	12
81	26	12
81	27	12
81	28	12
81	29	12
81	30	12
81	31	12
81	32	12
81	33	12
81	34	12
81	35	12
81	36	12
81	37	12
81	38	12
81	39	12
81	40	12
81	41	12
81	42	12
81	43	12
81	44	12
81	45	12
81	46	12
81	47	12
81	48	12
81	49	12
81	50	12
81	51	12
81	52	12
81	53	12
81	54	12
81	55	12
81	56	12
81	57	12
81	58	12
81	59	12
81	60	12
81	61	12
81	62	12
81	63	12
82	0	12
82	1	12
82	2	12
82	3	12
82	4	12
82	5	12
82	6	12
82	7	12
82	8	12
82	9	12
82	10	12
82	11	12
82	12	12
82	13	12
82	14	12
82	15	12
82	16	12
82	17	12
82	18	12
82	19	12
82	20	12
82	21	12
82	22	12
82	23	12
82	24	12
82	25	12
82	26	12
82	27	12
82	28	12
82	29	12
82	30	12
82	31	12
82	32	12
82	33	12
82	34	12
82	35	12
82	36	12
82	37	12
82	38	12
82	39	12
82	40	12
82	41	12
82	42	12
82	43	12
82	44	12
82	45	12
82	46	12
82	47	12
82	48	12
82	49	12
82	50	12
82	51	12
82	52	12
82	53	12
82	54	12
82	55	12
82	56	12
82	57	12
82	58	12
82	59	12
82	60	12
82	61	12
82	62	12
82	63	12
83	0	12
83	1	12
83	2	12
83	3	12
83	4	12
83	5	12
83	6	12
83	7	12
83	8	12
83	9	12
83	10	12
83	11	12
83	12	12
83	13	12
83	14	12
83	15	12
83	16	12
83	17	12
83	18	12
83	19	12
83	20	12
83	21	12
83	22	12
83	23	12
83	24	12
83	25	12
83	26	12
83	27	12
83	28	12
83	29	12
83	30	12
83	31	12
83	32	12
83	33	12
83	34	12
83	35	12
83	36	12
83	37	12
83	38	12
83	39	12
83	40	12
83	41	12
83	42	12
83	43	12
83	44	12
83	45	12
83	46	12
83	47	12
83	48	12
83	49	12
83	50	12
83	51	12
83	52	12
83	53	12
83	54	12
83	55	12
83	56	12
83	57	12
83	58	12
83	59	12
83	60	12
83	61	12
83	62	12
83	63	12
84	0	12
84	1	12
84	2	12
84	3	12
84	4	12
84	5	12
84	6	12
84	7	12
84	8	12
84	9	12
84	10	12
84	11	12
84	12	12
84	13	12
84	14	12
84	15	12
84	16	12
84	17	12
84	18	12
84	19	12
84	20	12
84	21	12
84	22	12
84	23	12
84	24	12
84	25	12
84	26	12
84	27	12
84	28	12
84	29	12
84	30	12
84	31	12
84	32	12
84	33	12
84	34	12
84	35	12
84	36	12
84	37	12
84	38	12
84	39	12
84	40	12
84	41	12
84	42	12
84	43	12
84	44	12
84	45	12
84	46	12
84	47	12
84	48	12
84	49	12
84	50	12
84	51	12
84	52	12
84	53	12
84	54	12
84	55	12
84	56	12
84	57	12
84	58	12
84	59	12
84	60	12
84	61	12
84	62	12
84	63	12
85	0	12
85	1	12
85	2	12
85	3	12
85	4	12
85	5	12
85	6	12
85	7	12
85	8	12
85	9	12
85	10	12
85	11	12
85	12	12
85	13	12
85	14	12
85	15	12
85	16	12
85	17	12
85	18	12
85	19	12
85	20	12
85	21	12
85	22	12
85	23	12
85	24	12
85	25	12
85	26	12
85	27	12
85	28	12
85	29	12
85	30	12
85	31	12
85	32	12
85	33	12
85	34	12
85	35	12
85	36	12
85	37	12
85	38	12
85	39	12
85	40	12
85	41	12
85	42	12
85	43	12
85	44	12
85	45	12
85	46	12
85	47	12
85	48	12
85	49	12
85	50	12
85	51	12
85	52	12
85	53	12
85	54	12
85	55	12
85	56	12
85	57	12
85	58	12
85	59	12
85	60	12
85	61	12
85	62	12
85	63	12
86	0	12
86	1	12
86	2	12
86	3	12
86	4	12
86	5	12
86	6	12
86	7	12
86	8	12
86	9	12
86	10	12
86	11	12
86	12	12
86	13	12
86	14	12
86	15	12
86	16	12
86	17	12
86	18	12
86	19	12
86	20	12
86	21	12
86	22	12
86	23	12
86	24	12
86	25	12
86	26	12
86	27	12
86	28	12
86	29	12
86	30	12
86	31	12
86	32	12
86	33	12
86	34	12
86	35	12
86	36	12
86	37	12
86	38	12
86	39	12
86	40	12
86	41	12
86	42	12
86	43	12
86	44	12
86	45	12
86	46	12
86	47	12
86	48	12
86	49	12
86	50	12
86	51	12
86	52	12
86	53	12
86	54	12
86	55	12
86	56	12
86	57	12
86	58	12
86	59	12
86	60	12
86	61	12
86	62	12
86	63	12
87	0	12
87	1	12
87	2	12
87	3	12
87	4	12
87	5	12
87	6	12
87	7	12
87	8	12
87	9	12
87	10	12
87	11	12
87	12	12
87	13	12
87	14	12
87	15	12
87	16	12
87	17	12
87	18	12
87	19	12
87	20	12
87	21	12
87	22	12
87	23	12
87	24	12
87	25	12
87	26	12
87	27	12
87	28	12
87	29	12
87	30	12
87	31	12
87	32	12
87	33	12
87	34	12
87	35	12
87	36	12
87	37	12
87	38	12
87	39	12
87	40	12
87	41	12
87	42	12
87	43	12
87	44	12
87	45	12
87	46	12
87	47	12
87	48	12
87	49	12
87	50	12
87	51	12
87	52	12
87	53	12
87	54	12
87	55	12
87	56	12
87	57	12
87	58	12
87	59	12
87	60	12
87	61	12
87	62	12
87	63	12
