#uplink	channel	meanADC
80	0	430.817
80	1	423.634
80	2	422.033
80	3	424.666
80	4	440.248
80	5	447.707
80	6	450.421
80	7	443.555
80	8	420.779
80	9	454.615
80	10	432.469
80	11	432.886
80	12	434.595
80	13	447.801
80	14	444.126
80	15	437.708
80	16	445.703
80	17	435.452
80	18	451.84
80	19	421.833
80	20	451.431
80	21	451.571
80	22	460.118
80	23	456.675
80	24	444.869
80	25	441.409
80	26	457.122
80	27	437.006
80	28	437.07
80	29	442.496
80	30	435.957
80	31	433.046
80	32	434.293
80	33	435.003
80	34	428.048
80	35	423.02
80	36	402.62
80	37	416.749
80	38	434.141
80	39	430.965
80	40	425.128
80	41	414.16
80	42	417.464
80	43	427.094
80	44	429.847
80	45	427.235
80	46	421.536
80	47	421.538
80	48	435.411
80	49	415.864
80	50	418.48
80	51	412.438
80	52	416.244
80	53	417.357
80	54	412.489
80	55	413
80	56	409.221
80	57	416.773
80	58	400.882
80	59	404.876
80	60	411.483
80	61	391.855
80	62	374.168
80	63	378.281
81	0	424.324
81	1	424.259
81	2	424.223
81	3	424.192
81	4	424.222
81	5	424.207
81	6	424.191
81	7	424.189
81	8	424.2
81	9	424.206
81	10	424.205
81	11	424.213
81	12	424.195
81	13	424.217
81	14	424.217
81	15	424.197
81	16	424.192
81	17	424.186
81	18	424.186
81	19	424.197
81	20	424.195
81	21	424.199
81	22	424.2
81	23	424.212
81	24	424.191
81	25	424.184
81	26	424.189
81	27	424.199
81	28	424.192
81	29	424.201
81	30	424.199
81	31	424.191
81	32	424.193
81	33	424.178
81	34	424.186
81	35	424.218
81	36	424.2
81	37	424.187
81	38	424.194
81	39	424.211
81	40	424.2
81	41	424.197
81	42	424.22
81	43	424.202
81	44	424.191
81	45	424.194
81	46	424.206
81	47	424.202
81	48	424.191
81	49	424.215
81	50	424.217
81	51	424.22
81	52	424.198
81	53	424.208
81	54	424.2
81	55	424.212
81	56	424.201
81	57	424.215
81	58	424.203
81	59	424.212
81	60	424.212
81	61	424.193
81	62	424.213
81	63	424.211
82	0	1683.45
82	1	1683.29
82	2	1683.25
82	3	1683.33
82	4	1683.24
82	5	1683.34
82	6	1683.18
82	7	1683.31
82	8	1683.2
82	9	1683.31
82	10	1683.26
82	11	1683.23
82	12	1683.3
82	13	1683.23
82	14	1683.27
82	15	1683.23
82	16	1683.26
82	17	1683.25
82	18	1683.28
82	19	1683.26
82	20	1683.31
82	21	1683.22
82	22	1683.28
82	23	1683.31
82	24	1683.29
82	25	1683.28
82	26	1683.28
82	27	1683.24
82	28	1683.3
82	29	1683.28
82	30	1683.27
82	31	1683.26
82	32	1683.26
82	33	1683.29
82	34	1683.26
82	35	1683.29
82	36	1683.24
82	37	1683.31
82	38	1683.27
82	39	1683.25
82	40	1683.28
82	41	1683.25
82	42	1683.26
82	43	1683.27
82	44	1683.25
82	45	1683.28
82	46	1683.26
82	47	1683.27
82	48	1683.23
82	49	1683.27
82	50	1683.26
82	51	1683.27
82	52	1683.26
82	53	1683.24
82	54	1683.29
82	55	1683.25
82	56	1683.26
82	57	1683.21
82	58	1683.27
82	59	1683.29
82	60	1683.26
82	61	1683.26
82	62	1683.27
82	63	1683.29
83	0	415.712
83	1	415.695
83	2	415.654
83	3	415.715
83	4	415.709
83	5	415.743
83	6	415.743
83	7	415.667
83	8	415.723
83	9	415.716
83	10	415.703
83	11	415.72
83	12	415.704
83	13	415.714
83	14	415.721
83	15	415.712
83	16	415.709
83	17	415.694
83	18	415.712
83	19	415.706
83	20	415.706
83	21	415.694
83	22	415.728
83	23	415.724
83	24	415.711
83	25	415.713
83	26	415.689
83	27	415.688
83	28	415.706
83	29	415.684
83	30	415.706
83	31	415.714
83	32	415.703
83	33	415.72
83	34	415.671
83	35	415.716
83	36	415.69
83	37	415.699
83	38	415.696
83	39	415.683
83	40	415.701
83	41	415.68
83	42	415.708
83	43	415.699
83	44	415.702
83	45	415.674
83	46	415.72
83	47	415.69
83	48	415.691
83	49	415.709
83	50	415.687
83	51	415.7
83	52	415.707
83	53	415.692
83	54	415.692
83	55	415.701
83	56	415.706
83	57	415.695
83	58	415.72
83	59	415.69
83	60	415.723
83	61	415.703
83	62	415.701
83	63	415.72
84	0	398.601
84	1	398.6
84	2	398.621
84	3	398.591
84	4	398.618
84	5	398.674
84	6	398.591
84	7	398.604
84	8	398.608
84	9	398.631
84	10	398.635
84	11	398.621
84	12	398.618
84	13	398.647
84	14	398.626
84	15	398.626
84	16	398.634
84	17	398.622
84	18	398.627
84	19	398.601
84	20	398.607
84	21	398.612
84	22	398.628
84	23	398.588
84	24	398.622
84	25	398.62
84	26	398.628
84	27	398.64
84	28	398.629
84	29	398.63
84	30	398.627
84	31	398.609
84	32	398.623
84	33	398.61
84	34	398.622
84	35	398.626
84	36	398.599
84	37	398.613
84	38	398.629
84	39	398.629
84	40	398.628
84	41	398.622
84	42	398.628
84	43	398.641
84	44	398.636
84	45	398.618
84	46	398.623
84	47	398.612
84	48	398.612
84	49	398.629
84	50	398.621
84	51	398.637
84	52	398.642
84	53	398.62
84	54	398.62
84	55	398.603
84	56	398.623
84	57	398.632
84	58	398.624
84	59	398.62
84	60	398.623
84	61	398.62
84	62	398.64
84	63	398.616
85	0	405.204
85	1	405.243
85	2	405.266
85	3	405.244
85	4	405.258
85	5	405.177
85	6	405.245
85	7	405.28
85	8	405.282
85	9	405.263
85	10	405.276
85	11	405.264
85	12	405.268
85	13	405.251
85	14	405.25
85	15	405.276
85	16	405.274
85	17	405.257
85	18	405.253
85	19	405.269
85	20	405.242
85	21	405.266
85	22	405.263
85	23	405.303
85	24	405.27
85	25	405.27
85	26	405.252
85	27	405.255
85	28	405.276
85	29	405.251
85	30	405.27
85	31	405.252
85	32	405.263
85	33	405.257
85	34	405.258
85	35	405.242
85	36	405.244
85	37	405.269
85	38	405.253
85	39	405.253
85	40	405.256
85	41	405.257
85	42	405.258
85	43	405.247
85	44	405.266
85	45	405.289
85	46	405.277
85	47	405.263
85	48	405.265
85	49	405.262
85	50	405.249
85	51	405.261
85	52	405.268
85	53	405.263
85	54	405.269
85	55	405.26
85	56	405.262
85	57	405.25
85	58	405.255
85	59	405.256
85	60	405.267
85	61	405.28
85	62	405.251
85	63	405.265
86	0	398.26
86	1	398.277
86	2	398.326
86	3	398.282
86	4	398.291
86	5	398.341
86	6	398.331
86	7	398.314
86	8	398.309
86	9	398.306
86	10	398.314
86	11	398.304
86	12	398.311
86	13	398.331
86	14	398.318
86	15	398.312
86	16	398.309
86	17	398.318
86	18	398.317
86	19	398.324
86	20	398.325
86	21	398.299
86	22	398.332
86	23	398.313
86	24	398.305
86	25	398.31
86	26	398.323
86	27	398.32
86	28	398.335
86	29	398.308
86	30	398.307
86	31	398.322
86	32	398.308
86	33	398.313
86	34	398.324
86	35	398.315
86	36	398.325
86	37	398.314
86	38	398.331
86	39	398.313
86	40	398.342
86	41	398.33
86	42	398.311
86	43	398.324
86	44	398.321
86	45	398.313
86	46	398.33
86	47	398.338
86	48	398.322
86	49	398.323
86	50	398.336
86	51	398.324
86	52	398.3
86	53	398.328
86	54	398.315
86	55	398.31
86	56	398.319
86	57	398.317
86	58	398.322
86	59	398.332
86	60	398.309
86	61	398.314
86	62	398.32
86	63	398.346
87	0	409.65
87	1	409.638
87	2	409.688
87	3	409.629
87	4	409.676
87	5	409.704
87	6	409.65
87	7	409.666
87	8	409.685
87	9	409.675
87	10	409.67
87	11	409.667
87	12	409.669
87	13	409.681
87	14	409.672
87	15	409.673
87	16	409.69
87	17	409.691
87	18	409.684
87	19	409.679
87	20	409.691
87	21	409.678
87	22	409.702
87	23	409.632
87	24	409.688
87	25	409.703
87	26	409.698
87	27	409.692
87	28	409.695
87	29	409.696
87	30	409.703
87	31	409.685
87	32	409.683
87	33	409.684
87	34	409.698
87	35	409.699
87	36	409.701
87	37	409.672
87	38	409.699
87	39	409.708
87	40	409.7
87	41	409.685
87	42	409.679
87	43	409.711
87	44	409.698
87	45	409.684
87	46	409.692
87	47	409.688
87	48	409.692
87	49	409.68
87	50	409.679
87	51	409.691
87	52	409.685
87	53	409.708
87	54	409.677
87	55	409.69
87	56	409.683
87	57	409.682
87	58	409.678
87	59	409.694
87	60	409.688
87	61	409.677
87	62	409.675
87	63	409.707
